indexkey,Symbol,Date,Volume_Traded
12793,OXY,2022-09-14,28406986.0
12794,OXY,2022-09-15,24382065.0
12795,OXY,2022-09-16,57451410.0
12796,OXY,2022-09-19,19677385.0
12797,OXY,2022-09-20,20264249.0
12798,OXY,2022-09-21,18597218.0
12799,OXY,2022-09-22,20343176.0
12800,OXY,2022-09-23,29654880.0
12801,DG,2021-09-27,1044887.0
12802,DG,2021-09-28,1461336.0
12803,DG,2021-09-29,1147982.0
12804,DG,2021-09-30,1817295.0
12805,DG,2021-10-01,1583349.0
12806,DG,2021-10-04,1499821.0
12807,DG,2021-10-05,1301511.0
12808,DG,2021-10-06,1140410.0
12809,DG,2021-10-07,1347515.0
12810,DG,2021-10-08,918091.0
12811,DG,2021-10-11,1209077.0
12812,DG,2021-10-12,1771028.0
12813,DG,2021-10-13,1159538.0
12814,DG,2021-10-14,1216805.0
12815,DG,2021-10-15,991385.0
12816,DG,2021-10-18,994540.0
12817,DG,2021-10-19,858248.0
12818,DG,2021-10-20,1080623.0
12819,DG,2021-10-21,1144520.0
12820,DG,2021-10-22,893341.0
12821,DG,2021-10-25,798445.0
12822,DG,2021-10-26,925561.0
12823,DG,2021-10-27,1037665.0
12824,DG,2021-10-28,819706.0
12825,DG,2021-10-29,811447.0
12826,DG,2021-11-01,870019.0
12827,DG,2021-11-02,1100003.0
12828,DG,2021-11-03,1237921.0
12829,DG,2021-11-04,1543686.0
12830,DG,2021-11-05,958326.0
12831,DG,2021-11-08,1891615.0
12832,DG,2021-11-09,869696.0
12833,DG,2021-11-10,740261.0
12834,DG,2021-11-11,1001243.0
12835,DG,2021-11-12,1370279.0
12836,DG,2021-11-15,1794304.0
12837,DG,2021-11-16,1693393.0
12838,DG,2021-11-17,2383376.0
12839,DG,2021-11-18,1779845.0
12840,DG,2021-11-19,1794552.0
12841,DG,2021-11-22,1627371.0
12842,DG,2021-11-23,1163769.0
12843,DG,2021-11-24,956825.0
12844,DG,2021-11-26,998014.0
12845,DG,2021-11-29,1794470.0
12846,DG,2021-11-30,3072954.0
12847,DG,2021-12-01,3452669.0
12848,DG,2021-12-02,3453143.0
12849,DG,2021-12-03,3111407.0
12850,DG,2021-12-06,2316343.0
12851,DG,2021-12-07,1611266.0
12852,DG,2021-12-08,2151278.0
12853,DG,2021-12-09,1262108.0
12854,DG,2021-12-10,1397884.0
12855,DG,2021-12-13,1949535.0
12856,DG,2021-12-14,1708670.0
12857,DG,2021-12-15,1570119.0
12858,DG,2021-12-16,1362639.0
12859,DG,2021-12-17,3493142.0
12860,DG,2021-12-20,2155335.0
12861,DG,2021-12-21,1142452.0
12862,DG,2021-12-22,1005638.0
12863,DG,2021-12-23,2241689.0
12864,DG,2021-12-27,2345527.0
12865,DG,2021-12-28,1805126.0
12866,DG,2021-12-29,1582526.0
12867,DG,2021-12-30,1312359.0
12868,DG,2021-12-31,1714700.0
12869,DG,2022-01-03,1499141.0
12870,DG,2022-01-04,1348549.0
12871,DG,2022-01-05,1829576.0
12872,DG,2022-01-06,3011822.0
12873,DG,2022-01-07,2315687.0
12874,DG,2022-01-10,2460952.0
12875,DG,2022-01-11,2644514.0
12876,DG,2022-01-12,1324580.0
12877,DG,2022-01-13,1940187.0
12878,DG,2022-01-14,4142002.0
12879,DG,2022-01-18,2700781.0
12880,DG,2022-01-19,2327829.0
12881,DG,2022-01-20,3147524.0
12882,DG,2022-01-21,2043010.0
12883,DG,2022-01-24,2468358.0
12884,DG,2022-01-25,2283272.0
12885,DG,2022-01-26,2327880.0
12886,DG,2022-01-27,2232365.0
12887,DG,2022-01-28,2080416.0
12888,DG,2022-01-31,2901921.0
12889,DG,2022-02-01,1705458.0
12890,DG,2022-02-02,2020304.0
12891,DG,2022-02-03,1850662.0
12892,DG,2022-02-04,2005961.0
12893,DG,2022-02-07,1622042.0
12894,DG,2022-02-08,2913463.0
12895,DG,2022-02-09,2354127.0
12896,DG,2022-02-10,1854296.0
12897,DG,2022-02-11,1212003.0
12898,DG,2022-02-14,1442381.0
12899,DG,2022-02-15,1721738.0
12900,DG,2022-02-16,2661515.0
12901,DG,2022-02-17,1853497.0
12902,DG,2022-02-18,3468265.0
12903,DG,2022-02-22,2167719.0
12904,DG,2022-02-23,1654301.0
12905,DG,2022-02-24,2083126.0
12906,DG,2022-02-25,2561525.0
12907,DG,2022-02-28,1569675.0
12908,DG,2022-03-01,2408723.0
12909,DG,2022-03-02,1696945.0
12910,DG,2022-03-03,1793165.0
12911,DG,2022-03-04,2365785.0
12912,DG,2022-03-07,2112191.0
12913,DG,2022-03-08,2363823.0
12914,DG,2022-03-09,1508777.0
12915,DG,2022-03-10,1174235.0
12916,DG,2022-03-11,2362701.0
12917,DG,2022-03-14,1454422.0
12918,DG,2022-03-15,2793327.0
12919,DG,2022-03-16,2584782.0
12920,DG,2022-03-17,4386367.0
12921,DG,2022-03-18,3100131.0
12922,DG,2022-03-21,1878995.0
12923,DG,2022-03-22,1798633.0
12924,DG,2022-03-23,1819800.0
12925,DG,2022-03-24,1541344.0
12926,DG,2022-03-25,1286070.0
12927,DG,2022-03-28,1385761.0
12928,DG,2022-03-29,3336196.0
12929,DG,2022-03-30,1288400.0
12930,DG,2022-03-31,2164611.0
12931,DG,2022-04-01,1538798.0
12932,DG,2022-04-04,1501735.0
12933,DG,2022-04-05,2073536.0
12934,DG,2022-04-06,3548596.0
12935,DG,2022-04-07,2786372.0
12936,DG,2022-04-08,2733584.0
12937,DG,2022-04-11,1959114.0
12938,DG,2022-04-12,1500677.0
12939,DG,2022-04-13,1328094.0
12940,DG,2022-04-14,2094447.0
12941,DG,2022-04-18,1332939.0
12942,DG,2022-04-19,2018439.0
12943,DG,2022-04-20,2117782.0
12944,DG,2022-04-21,1946019.0
12945,DG,2022-04-22,1659243.0
12946,DG,2022-04-25,1859218.0
12947,DG,2022-04-26,1472740.0
12948,DG,2022-04-27,1366414.0
12949,DG,2022-04-28,1241811.0
12950,DG,2022-04-29,1993755.0
12951,DG,2022-05-02,1691276.0
12952,DG,2022-05-03,1188039.0
12953,DG,2022-05-04,1416780.0
12954,DG,2022-05-05,1577074.0
12955,DG,2022-05-06,2525392.0
